# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
96 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.6591796875 -29567.46875 -1231.5006103515625 1 0095.png

97 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.656005859375 -29577.494140625 -1231.45556640625 1 0096.png

98 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.653076171875 -29587.517578125 -1231.41064453125 1 0097.png

99 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.64990234375 -29597.541015625 -1231.36572265625 1 0098.png

100 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.646728515625 -29607.56640625 -1231.3206787109375 1 0099.png

101 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.643798828125 -29617.58984375 -1231.2757568359375 1 0100.png

102 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.640625 -29627.615234375 -1231.2308349609375 1 0101.png

103 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.6376953125 -29637.638671875 -1231.185791015625 1 0102.png

104 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.634521484375 -29647.662109375 -1231.140869140625 1 0103.png

105 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.63134765625 -29657.6875 -1231.095947265625 1 0104.png

106 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.62841796875 -29667.7109375 -1231.0509033203125 1 0105.png

107 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.625244140625 -29677.736328125 -1231.0059814453125 1 0106.png

108 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.6220703125 -29687.759765625 -1230.9609375 1 0107.png

109 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.619140625 -29697.783203125 -1230.916015625 1 0108.png

110 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.615966796875 -29707.80859375 -1230.87109375 1 0109.png

111 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.613037109375 -29717.83203125 -1230.8260498046875 1 0110.png

112 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.60986328125 -29727.857421875 -1230.7811279296875 1 0111.png

113 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.606689453125 -29737.880859375 -1230.7362060546875 1 0112.png

114 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.603759765625 -29747.904296875 -1230.691162109375 1 0113.png

115 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.6005859375 -29757.9296875 -1230.646240234375 1 0114.png

116 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.59765625 -29767.953125 -1230.601318359375 1 0115.png

